timestamp,document,total_tokens,num_chunks,avg_chunk_size,max_chunk_size,min_chunk_size,tokenization_time,chunking_time
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-08-29T18:52:07.257236
4295,10,474.5,500,245,0.0,0.001046895980834961,Biosafety_Guidance.txt,2024-08-29T18:52:17.941091
0,0,30.763230323791504,2024-08-29T18:53:27.354320
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-08-29T18:59:32.913733
4295,10,474.5,500,245,0.0,0.0,Biosafety_Guidance.txt,2024-08-29T18:59:35.570261
0,0,1.1698353290557861,2024-08-29T18:59:36.742047
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-08-29T19:15:26.880739
4295,10,474.5,500,245,0.0,0.0010118484497070312,Biosafety_Guidance.txt,2024-08-29T19:15:44.921927
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-08-31T22:36:15.731737
4295,10,474.5,500,245,0.0,0.0009996891021728516,Biosafety_Guidance.txt,2024-08-31T22:36:28.372293
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T17:36:01.732503
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T17:39:09.367308
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T17:45:19.755845
4295,10,474.5,500,245,0.0,0.0,Biosafety_Guidance.txt,2024-09-03T17:45:22.695046
0,0,1.1434197425842285,2024-09-03T17:45:23.840470
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T20:07:35.070017
4295,10,474.5,500,245,0.0,0.0,Biosafety_Guidance.txt,2024-09-03T20:07:38.516878
0,0,1.475696325302124,2024-09-03T20:07:39.993574
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T20:23:39.005451
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T20:48:57.865873
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T20:49:58.881083
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T20:59:43.177636
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:00:18.461547
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:01:57.468348
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:04:55.165102
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:11:02.266633
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:14:30.798878
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:16:58.582880
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:25:30.803324
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:27:02.301976
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-03T21:29:10.366194
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T08:54:55.782885
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T08:59:59.310320
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T09:14:36.708455
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T09:22:03.593324
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T09:25:15.286265
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T09:26:42.876581
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T09:33:51.873672
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T10:02:32.303618
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T10:04:07.157722
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T10:12:14.566139
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T10:25:14.130371
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T10:44:41.952760
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T10:45:25.357282
4295,10,474.5,500,245,0.0,0.0010006427764892578,Biosafety_Guidance.txt,2024-09-04T10:49:48.338416
4295,10,474.5,500,245,0.0,0.0009999275207519531,Biosafety_Guidance.txt,2024-09-04T10:51:47.971187
10,384,47.71567177772522,2024-09-04T10:52:41.775351
10,384,165.24317622184753,2024-09-04T10:52:48.242486
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-04T11:01:10.638594
4295,10,474.5,500,245,0.0,0.0010142326354980469,Biosafety_Guidance.txt,2024-09-04T11:02:46.756003
10,384,2.2014081478118896,2024-09-04T11:02:48.963414
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T14:07:34.764241
4295,10,474.5,500,245,0.0,0.0009877681732177734,Biosafety_Guidance.txt,2024-09-05T14:08:57.063961
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T14:13:31.116736
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T14:14:29.215230
4295,10,474.5,500,245,0.0009822845458984375,0.0,Biosafety_Guidance.txt,2024-09-05T14:15:33.509141
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T14:33:45.648240
4295,10,474.5,500,245,0.0010001659393310547,0.0,Biosafety_Guidance.txt,2024-09-05T14:38:25.567077
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T14:51:38.361067
4295,10,474.5,500,245,0.0,0.0010151863098144531,Biosafety_Guidance.txt,2024-09-05T14:52:52.399731
10,1536,1.7898099422454834,2024-09-05T14:52:54.195533
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T14:59:21.995020
4295,10,474.5,500,245,0.0,0.0010008811950683594,Biosafety_Guidance.txt,2024-09-05T14:59:57.256708
10,1536,2.0392918586730957,2024-09-05T14:59:59.297999
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T15:08:33.732700
4295,10,474.5,500,245,0.0,0.0,Biosafety_Guidance.txt,2024-09-05T15:09:46.827023
10,1536,1.7160882949829102,2024-09-05T15:09:48.546112
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T15:42:54.676920
4295,10,474.5,500,245,0.001005411148071289,0.0,Biosafety_Guidance.txt,2024-09-05T15:42:59.552569
10,1536,1725565379.5546017,1725565381.1211536,1.566551923751831,2024-09-05T15:43:01.121153
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T16:31:48.831130
4295,10,474.5,500,245,0.0,0.0010673999786376953,Biosafety_Guidance.txt,2024-09-05T16:31:57.319817
10,1536,1725568317.3218713,1725568319.008042,1.6861708164215088,2024-09-05T16:31:59.008041
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T20:03:07.989122
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T20:08:28.797445
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:06:23.618949
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:07:34.264171
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:25:08.215844
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:31:55.145447
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:41:22.240467
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:44:33.611402
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:47:32.323485
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:50:24.404849
